feature_1,feature_2,spearman_r,abs_spearman_r
central_theta_power_mean,parietal_alpha_power_mean,0.4781398184527842,0.4781398184527842
frontal_theta_power_mean,central_delta_power_mean,0.47629724969516324,0.47629724969516324
temporal_theta_beta_ratio,occipital_delta_power_mean,0.4762837013954749,0.4762837013954749
central_delta_power_mean,occipital_theta_beta_ratio,0.47485435577834983,0.47485435577834983
parietal_delta_power_mean,parietal_theta_beta_ratio,0.470681479474326,0.470681479474326
parietal_delta_power_mean,occipital_theta_beta_ratio,0.4695569706001897,0.4695569706001897
temporal_beta_power_mean,occipital_beta_power_mean,0.46810730253353205,0.46810730253353205
frontal_theta_power_mean,frontal_theta_beta_ratio,0.46733504945129384,0.46733504945129384
frontal_beta_power_mean,central_theta_power_mean,0.4664205392223276,0.4664205392223276
central_theta_power_mean,occipital_alpha_power_mean,0.4646524861129928,0.4646524861129928
occipital_beta_power_mean,occipital_theta_beta_ratio,-0.4635957187372985,0.4635957187372985
parietal_delta_power_mean,temporal_theta_beta_ratio,0.46287088470396964,0.46287088470396964
temporal_alpha_power_mean,occipital_theta_power_mean,0.461942826175315,0.461942826175315
central_theta_power_mean,temporal_beta_power_mean,0.4614415390868446,0.4614415390868446
parietal_theta_power_mean,temporal_delta_power_mean,0.46005283836878474,0.46005283836878474
frontal_delta_power_mean,frontal_theta_beta_ratio,0.4596938084270424,0.4596938084270424
frontal_beta_power_mean,temporal_alpha_power_mean,0.4587996206476087,0.4587996206476087
frontal_delta_power_mean,central_theta_power_mean,0.45493835523641785,0.45493835523641785
central_beta_power_mean,central_theta_beta_ratio,-0.4539764259585422,0.4539764259585422
frontal_theta_power_mean,parietal_delta_power_mean,0.451984825904349,0.451984825904349
frontal_theta_power_mean,occipital_beta_power_mean,0.4489635550738382,0.4489635550738382
parietal_alpha_power_mean,occipital_theta_power_mean,0.4486383958813169,0.4486383958813169
frontal_beta_power_mean,central_alpha_power_mean,0.44695163257011244,0.44695163257011244
parietal_theta_power_mean,temporal_theta_beta_ratio,0.4439168134399133,0.4439168134399133
temporal_theta_power_mean,occipital_alpha_power_mean,0.4385042677144018,0.4385042677144018
frontal_alpha_power_mean,temporal_theta_power_mean,0.4377252404823195,0.4377252404823195
parietal_theta_power_mean,occipital_theta_beta_ratio,0.43735943639073294,0.43735943639073294
frontal_alpha_power_mean,occipital_beta_power_mean,0.4361942826175315,0.4361942826175315
frontal_theta_power_mean,occipital_delta_power_mean,0.4359368649234521,0.4359368649234521
temporal_theta_power_mean,occipital_theta_beta_ratio,0.4336810730253353,0.4336810730253353
parietal_beta_power_mean,occipital_theta_power_mean,0.43238721040509415,0.43238721040509415
parietal_theta_beta_ratio,occipital_theta_power_mean,0.4299823872104051,0.4299823872104051
parietal_theta_beta_ratio,occipital_delta_power_mean,0.4242717788917491,0.4242717788917491
parietal_theta_beta_ratio,temporal_theta_power_mean,0.42272049857742855,0.42272049857742855
temporal_beta_power_mean,occipital_alpha_power_mean,0.41336539764259583,0.41336539764259583
temporal_theta_power_mean,temporal_beta_power_mean,0.4128234656550603,0.4128234656550603
frontal_theta_power_mean,temporal_beta_power_mean,0.41209185747188726,0.41209185747188726
frontal_delta_power_mean,frontal_alpha_power_mean,0.40987671047283564,0.40987671047283564
central_delta_power_mean,temporal_theta_beta_ratio,0.4087115566996342,0.4087115566996342
parietal_beta_power_mean,temporal_theta_power_mean,0.40836607505758027,0.40836607505758027
frontal_theta_beta_ratio,occipital_theta_beta_ratio,0.4074922097276792,0.4074922097276792
central_theta_beta_ratio,parietal_theta_power_mean,0.40380707221243733,0.40380707221243733
frontal_beta_power_mean,frontal_theta_beta_ratio,-0.4028790136837827,0.4028790136837827
temporal_delta_power_mean,occipital_theta_beta_ratio,0.40083999458068015,0.40083999458068015
central_theta_beta_ratio,temporal_theta_power_mean,0.3989025877252405,0.3989025877252405
frontal_theta_beta_ratio,temporal_theta_power_mean,0.39792711014767645,0.39792711014767645
central_theta_power_mean,parietal_delta_power_mean,0.3975545319062458,0.3975545319062458
central_beta_power_mean,parietal_theta_beta_ratio,-0.3952919658582848,0.3952919658582848
central_theta_power_mean,occipital_delta_power_mean,0.3934764937000406,0.3934764937000406
frontal_alpha_power_mean,occipital_theta_power_mean,0.3914307004470939,0.3914307004470939
temporal_beta_power_mean,temporal_theta_beta_ratio,-0.3874949193876169,0.3874949193876169
parietal_alpha_power_mean,temporal_theta_power_mean,0.38275301449668064,0.38275301449668064
frontal_delta_power_mean,parietal_beta_power_mean,0.3786072347920336,0.3786072347920336
frontal_theta_beta_ratio,parietal_theta_power_mean,0.37632434629454004,0.37632434629454004
central_delta_power_mean,temporal_alpha_power_mean,0.37325565641511993,0.37325565641511993
frontal_theta_beta_ratio,central_delta_power_mean,0.3730050128708847,0.3730050128708847
frontal_beta_power_mean,parietal_theta_power_mean,0.37240888768459557,0.37240888768459557
frontal_theta_beta_ratio,parietal_delta_power_mean,0.37067470532448177,0.37067470532448177
parietal_beta_power_mean,parietal_theta_beta_ratio,-0.3705459964774421,0.3705459964774421
central_beta_power_mean,temporal_theta_power_mean,0.36981438829426905,0.36981438829426905
central_delta_power_mean,parietal_beta_power_mean,0.3683037528790137,0.3683037528790137
central_theta_power_mean,central_theta_beta_ratio,0.3681343991329088,0.3681343991329088
parietal_theta_power_mean,temporal_beta_power_mean,0.3674027909497358,0.3674027909497358
parietal_delta_power_mean,occipital_alpha_power_mean,0.36721311475409835,0.36721311475409835
central_beta_power_mean,parietal_theta_power_mean,0.36558054464164746,0.36558054464164746
central_theta_beta_ratio,occipital_theta_power_mean,0.3629047554531906,0.3629047554531906
frontal_delta_power_mean,temporal_alpha_power_mean,0.36225443706814797,0.36225443706814797
parietal_alpha_power_mean,occipital_beta_power_mean,0.3610892832949465,0.3610892832949465
frontal_theta_power_mean,central_alpha_power_mean,0.36099444519712776,0.36099444519712776
central_theta_beta_ratio,parietal_delta_power_mean,0.3606015445061645,0.3606015445061645
temporal_delta_power_mean,temporal_alpha_power_mean,0.3587454274488552,0.3587454274488552
parietal_delta_power_mean,parietal_beta_power_mean,0.3579460777672402,0.3579460777672402
central_theta_power_mean,temporal_delta_power_mean,0.3531838504267714,0.3531838504267714
central_theta_power_mean,temporal_theta_beta_ratio,0.3524996612925078,0.3524996612925078
central_delta_power_mean,parietal_theta_beta_ratio,0.3477103373526622,0.3477103373526622
frontal_delta_power_mean,occipital_alpha_power_mean,0.3472564693131012,0.3472564693131012
frontal_beta_power_mean,parietal_theta_beta_ratio,-0.34579325294675517,0.34579325294675517
parietal_theta_power_mean,occipital_beta_power_mean,0.3404416745698415,0.3404416745698415
central_theta_beta_ratio,occipital_delta_power_mean,0.3365871833084948,0.3365871833084948
central_delta_power_mean,central_theta_beta_ratio,0.3317504403197399,0.3317504403197399
central_delta_power_mean,occipital_alpha_power_mean,0.33135753962877657,0.33135753962877657
frontal_delta_power_mean,occipital_beta_power_mean,0.32915594092941336,0.32915594092941336
parietal_delta_power_mean,temporal_alpha_power_mean,0.3272524048231947,0.3272524048231947
parietal_beta_power_mean,occipital_delta_power_mean,0.3267578918845685,0.3267578918845685
parietal_theta_beta_ratio,temporal_delta_power_mean,0.3243666169895678,0.3243666169895678
occipital_theta_power_mean,occipital_beta_power_mean,0.3237840401029671,0.3237840401029671
frontal_theta_beta_ratio,central_theta_power_mean,0.32277469177618207,0.32277469177618207
temporal_alpha_power_mean,occipital_beta_power_mean,0.3203766427313372,0.3203766427313372
central_delta_power_mean,temporal_beta_power_mean,0.3175856929955291,0.3175856929955291
frontal_beta_power_mean,temporal_theta_power_mean,0.31573635008806394,0.31573635008806394
frontal_delta_power_mean,temporal_theta_beta_ratio,0.30662511854762226,0.30662511854762226
temporal_alpha_power_mean,occipital_delta_power_mean,0.30466738924265,0.30466738924265
frontal_beta_power_mean,central_theta_beta_ratio,-0.3035090096192928,0.3035090096192928
central_theta_beta_ratio,parietal_beta_power_mean,-0.2990109741227476,0.2990109741227476
frontal_delta_power_mean,frontal_beta_power_mean,0.2962606692860046,0.2962606692860046
central_theta_power_mean,occipital_theta_beta_ratio,0.2961251862891207,0.2961251862891207
frontal_delta_power_mean,parietal_alpha_power_mean,0.296064218940523,0.296064218940523
parietal_delta_power_mean,parietal_alpha_power_mean,0.29605744479067875,0.29605744479067875
frontal_theta_beta_ratio,occipital_theta_power_mean,0.2936593957458339,0.2936593957458339
central_theta_power_mean,occipital_beta_power_mean,0.2927855304159328,0.2927855304159328
frontal_theta_beta_ratio,occipital_delta_power_mean,0.28786749762904756,0.28786749762904756
frontal_theta_power_mean,central_theta_beta_ratio,0.28578105947703564,0.28578105947703564
parietal_theta_beta_ratio,temporal_beta_power_mean,-0.28263785394932933,0.28263785394932933
frontal_beta_power_mean,occipital_theta_power_mean,0.28239398455493836,0.28239398455493836
central_delta_power_mean,central_beta_power_mean,0.28039561035090094,0.28039561035090094
frontal_delta_power_mean,central_theta_beta_ratio,0.2794878742717789,0.2794878742717789
central_theta_power_mean,parietal_theta_beta_ratio,0.2792372307275437,0.2792372307275437
frontal_theta_power_mean,temporal_theta_beta_ratio,0.2789662647337759,0.2789662647337759
temporal_theta_power_mean,occipital_beta_power_mean,0.27830239804904483,0.27830239804904483
central_alpha_power_mean,occipital_beta_power_mean,0.2782278824007587,0.2782278824007587
parietal_theta_beta_ratio,occipital_beta_power_mean,-0.2772727272727273,0.2772727272727273
central_theta_beta_ratio,temporal_beta_power_mean,-0.2756672537596532,0.2756672537596532
frontal_theta_beta_ratio,temporal_delta_power_mean,0.2750101612247663,0.2750101612247663
central_theta_beta_ratio,temporal_delta_power_mean,0.27495596802601274,0.27495596802601274
frontal_beta_power_mean,temporal_theta_beta_ratio,-0.27491532312694755,0.27491532312694755
frontal_theta_power_mean,temporal_delta_power_mean,0.27106760601544505,0.27106760601544505
central_alpha_power_mean,central_theta_beta_ratio,-0.26850697737433954,0.26850697737433954
central_delta_power_mean,parietal_alpha_power_mean,0.26700989025877253,0.26700989025877253
parietal_alpha_power_mean,occipital_delta_power_mean,0.2663257011245089,0.2663257011245089
central_alpha_power_mean,parietal_theta_beta_ratio,-0.2634466874407262,0.2634466874407262
occipital_delta_power_mean,occipital_beta_power_mean,0.2624508874136296,0.2624508874136296
central_theta_beta_ratio,occipital_beta_power_mean,-0.26161766698279365,0.26161766698279365
central_beta_power_mean,occipital_theta_power_mean,0.2560831865600867,0.2560831865600867
central_alpha_power_mean,temporal_theta_power_mean,0.24893645847446144,0.24893645847446144
frontal_theta_beta_ratio,temporal_beta_power_mean,-0.24829968838910715,0.24829968838910715
frontal_delta_power_mean,temporal_beta_power_mean,0.24791356184798807,0.24791356184798807
frontal_theta_beta_ratio,central_beta_power_mean,-0.247493564557648,0.247493564557648
central_alpha_power_mean,parietal_theta_power_mean,0.24733775911123154,0.24733775911123154
frontal_alpha_power_mean,central_delta_power_mean,0.24545454545454545,0.24545454545454545
temporal_beta_power_mean,occipital_theta_power_mean,0.24517680531093347,0.24517680531093347
frontal_alpha_power_mean,occipital_delta_power_mean,0.24331391410377998,0.24331391410377998
frontal_alpha_power_mean,parietal_delta_power_mean,0.24148489364584744,0.24148489364584744
frontal_delta_power_mean,central_beta_power_mean,0.24045522286952986,0.24045522286952986
temporal_delta_power_mean,occipital_alpha_power_mean,0.23937813304430294,0.23937813304430294
frontal_delta_power_mean,occipital_theta_beta_ratio,0.23540848123560493,0.23540848123560493
temporal_delta_power_mean,temporal_beta_power_mean,0.23525267578918846,0.23525267578918846
central_beta_power_mean,temporal_theta_beta_ratio,-0.23405365126676603,0.23405365126676603
frontal_delta_power_mean,parietal_theta_beta_ratio,0.22347242921013413,0.22347242921013413
parietal_delta_power_mean,occipital_beta_power_mean,0.20639479745291966,0.20639479745291966
frontal_beta_power_mean,central_delta_power_mean,0.2058596396152283,0.2058596396152283
parietal_delta_power_mean,temporal_beta_power_mean,0.20438287494919388,0.20438287494919388
frontal_beta_power_mean,occipital_delta_power_mean,0.2021270830510771,0.2021270830510771
central_alpha_power_mean,temporal_theta_beta_ratio,-0.19846226798536784,0.19846226798536784
parietal_beta_power_mean,temporal_delta_power_mean,0.18945942284243328,0.18945942284243328
frontal_theta_power_mean,parietal_theta_beta_ratio,0.18522557918981167,0.18522557918981167
central_delta_power_mean,occipital_beta_power_mean,0.18131012057986723,0.18131012057986723
parietal_beta_power_mean,temporal_theta_beta_ratio,-0.17541661021541796,0.17541661021541796
frontal_beta_power_mean,occipital_theta_beta_ratio,-0.1730117870207289,0.1730117870207289
temporal_beta_power_mean,occipital_delta_power_mean,0.17123018561170572,0.17123018561170572
temporal_delta_power_mean,occipital_beta_power_mean,0.17106083186560087,0.17106083186560087
frontal_theta_power_mean,occipital_theta_beta_ratio,0.1698889039425552,0.1698889039425552
central_alpha_power_mean,occipital_theta_power_mean,0.1655669963419591,0.1655669963419591
central_beta_power_mean,occipital_theta_beta_ratio,-0.15985638802330307,0.15985638802330307
occipital_alpha_power_mean,occipital_theta_beta_ratio,0.1590638124915323,0.1590638124915323
frontal_beta_power_mean,parietal_delta_power_mean,0.1557038341688118,0.1557038341688118
frontal_delta_power_mean,central_alpha_power_mean,0.15463351849342907,0.15463351849342907
parietal_alpha_power_mean,temporal_delta_power_mean,0.14741227475951768,0.14741227475951768
frontal_theta_beta_ratio,parietal_beta_power_mean,-0.1421758569299553,0.1421758569299553
temporal_alpha_power_mean,occipital_theta_beta_ratio,0.14038070722124374,0.14038070722124374
central_beta_power_mean,occipital_delta_power_mean,0.13947297114212168,0.13947297114212168
central_theta_beta_ratio,parietal_alpha_power_mean,-0.13578105947703564,0.13578105947703564
frontal_alpha_power_mean,parietal_theta_beta_ratio,-0.1261278959490584,0.1261278959490584
temporal_beta_power_mean,occipital_theta_beta_ratio,-0.12580951090638126,0.12580951090638126
central_beta_power_mean,temporal_delta_power_mean,0.12465113128302398,0.12465113128302398
temporal_theta_beta_ratio,occipital_beta_power_mean,-0.12448177753691912,0.12448177753691912
central_beta_power_mean,parietal_delta_power_mean,0.11882536241701666,0.11882536241701666
parietal_alpha_power_mean,parietal_theta_beta_ratio,-0.11719956645440997,0.11719956645440997
frontal_alpha_power_mean,temporal_delta_power_mean,0.11060154450616448,0.11060154450616448
parietal_beta_power_mean,occipital_theta_beta_ratio,-0.11005283836878471,0.11005283836878471
temporal_alpha_power_mean,temporal_theta_beta_ratio,0.1082034954613196,0.1082034954613196
central_delta_power_mean,central_alpha_power_mean,0.10359707356726731,0.10359707356726731
frontal_theta_beta_ratio,temporal_alpha_power_mean,0.09743937135889445,0.09743937135889445
frontal_alpha_power_mean,frontal_theta_beta_ratio,0.09478390461997019,0.09478390461997019
parietal_alpha_power_mean,occipital_theta_beta_ratio,0.09194553583525268,0.09194553583525268
frontal_beta_power_mean,temporal_delta_power_mean,0.08578783362687982,0.08578783362687982
parietal_alpha_power_mean,temporal_theta_beta_ratio,-0.08241430700447094,0.08241430700447094
frontal_theta_beta_ratio,occipital_beta_power_mean,-0.08093754233843653,0.08093754233843653
