feature,importance
F3_Pz_theta_connectivity,0.0012488668899927526
Fp2_Fz_alpha_connectivity,0.0012482588742001243
C3_F8_theta_connectivity,0.0012207540939714089
C3_P7_theta_connectivity,0.0012160771831974098
C3_Pz_beta_connectivity,0.001207155316204633
F8_Fz_beta_connectivity,0.0012067553876187957
central_parietal_theta_connectivity,0.0011787238025506037
Fp2_P7_beta_connectivity,0.0011693825912516569
F3_C3_beta_connectivity,0.0011685074178615887
T7_P7_theta_connectivity,0.0011526341108693188
F7_T7_alpha_connectivity,0.001132777914299343
F4_O2_alpha_connectivity,0.0011292946349711333
C3_F7_alpha_connectivity,0.0011237772538102487
F3_Fz_alpha_connectivity,0.001122906078845013
Fp1_T8_beta_connectivity,0.0011029304502673378
Fp2_Pz_beta_connectivity,0.001088809924621168
F8_Cz_alpha_connectivity,0.001082311532228698
F4_C3_alpha_connectivity,0.0010822439239289803
F3_F7_alpha_connectivity,0.0010712274014167752
C4_P7_delta_connectivity,0.0010598759157308304
F4_T7_alpha_connectivity,0.0010381643141494134
F3_F7_beta_connectivity,0.001033629183645297
P3_Pz_theta_connectivity,0.0010227053409870104
Fz_Pz_alpha_connectivity,0.0010198128067351
Fp1_P7_alpha_connectivity,0.0010139908214915874
T8_Fz_delta_connectivity,0.0010006106417346792
Fp1_O1_beta_connectivity,0.0010002926059181664
T8_P8_alpha_connectivity,0.000995559934186543
F3_Fz_delta_connectivity,0.0009888802208486557
P7_Fz_alpha_connectivity,0.0009836937461400882
Fp2_T7_theta_connectivity,0.000978613010478384
O2_P8_theta_connectivity,0.000978296546479178
F3_F8_alpha_connectivity,0.0009752757540312572
T8_Pz_alpha_connectivity,0.0009714029274744822
Cz_Pz_theta_connectivity,0.0009677203298623955
C4_Cz_delta_connectivity,0.000967708182243633
P3_Fz_theta_connectivity,0.0009619356483129391
Fp1_P4_beta_connectivity,0.0009481741693633214
F8_Pz_alpha_connectivity,0.0009243214975672701
Fz_Cz_beta_connectivity,0.0009188485879526993
P4_O1_alpha_connectivity,0.0009117110358045178
P3_Pz_delta_connectivity,0.0008965398732608737
C4_P3_theta_connectivity,0.0008936712701408364
P8_Fz_delta_connectivity,0.00089299716467004
central_occipital_delta_connectivity,0.0008908129657888024
P3_T8_alpha_connectivity,0.0008842117486824158
