feature,importance
F4_Fz_beta_connectivity,0.0014005101089954878
T8_Pz_theta_connectivity,0.0013964483203730293
F8_Fz_beta_connectivity,0.0013899302762419635
F3_O2_theta_connectivity,0.0013890009867023878
O2_P7_beta_connectivity,0.0013842548676350338
F8_T8_delta_connectivity,0.0013815185009592506
Fp2_T8_delta_connectivity,0.0013756255737867502
P3_Fz_alpha_connectivity,0.0013750037480130184
Fp2_F3_alpha_connectivity,0.0013720919222720439
C4_O2_delta_connectivity,0.0013666139450341126
C3_Cz_delta_connectivity,0.0013627055596538646
O1_T8_alpha_connectivity,0.0013625053550065237
C4_T7_beta_connectivity,0.0013555512919149893
T8_P8_theta_connectivity,0.0013408966228090997
T7_T8_alpha_connectivity,0.001333434309368527
P4_T7_theta_connectivity,0.0013294216480279279
P4_O1_theta_connectivity,0.0013291999471212637
P4_Fz_beta_connectivity,0.0013088229527026872
Fp1_F4_theta_connectivity,0.0013062235406441323
F4_P8_beta_connectivity,0.0013031919366040135
F3_Cz_alpha_connectivity,0.0012964604415361648
T7_T8_theta_connectivity,0.001293226486302448
Fz_Cz_alpha_connectivity,0.001290666474151963
F3_T7_delta_connectivity,0.001286611104823858
Fp2_C4_delta_connectivity,0.0012822243389846047
C3_T8_theta_connectivity,0.0012785289774619377
C4_F8_alpha_connectivity,0.0012772705880913036
Fp2_P8_delta_connectivity,0.0012706715463035193
C3_T8_delta_connectivity,0.0012664236315238983
Fp1_T8_beta_connectivity,0.001266419944702291
P3_P4_theta_connectivity,0.001262717407540561
Cz_Pz_delta_connectivity,0.00125375742964704
Fp1_P8_alpha_connectivity,0.0012514215474942834
P8_Cz_alpha_connectivity,0.0012507769529149816
P3_F7_beta_connectivity,0.0012478502071490815
P8_Fz_beta_connectivity,0.0012437910866173552
F3_F8_theta_connectivity,0.0012391720241253484
C4_Cz_delta_connectivity,0.0012383893305144562
F7_F8_theta_connectivity,0.0012361727969155917
C3_P8_beta_connectivity,0.0012345184174394647
Fp1_T7_theta_connectivity,0.0012309392363394403
F7_T7_alpha_connectivity,0.0012236305591002239
P4_Pz_alpha_connectivity,0.0012235078714637408
F8_Fz_theta_connectivity,0.0012229715467561278
F3_T7_alpha_connectivity,0.0012178009038142294
O1_Pz_theta_connectivity,0.0012116435897003594
F8_Cz_beta_connectivity,0.0012115373307054692
Fp2_T7_delta_connectivity,0.001206686565354949
O1_T7_alpha_connectivity,0.0012065808649825262
T7_P7_alpha_connectivity,0.001202808442530114
T7_Pz_theta_connectivity,0.0012004013257417734
C4_Cz_beta_connectivity,0.0011987573878479393
F8_T8_alpha_connectivity,0.0011980063768625483
C4_F7_alpha_connectivity,0.0011965013725590424
P3_O1_alpha_connectivity,0.0011943850828424467
P3_F8_delta_connectivity,0.0011926822761008358
P3_P4_beta_connectivity,0.001191491397204211
T7_Pz_alpha_connectivity,0.0011900108807298354
Fp1_F4_delta_connectivity,0.001188046381762762
Fp1_C3_alpha_connectivity,0.001183722866492621
F3_F4_beta_connectivity,0.001176440112167363
F3_O2_beta_connectivity,0.0011735150125431423
F3_P7_beta_connectivity,0.0011719299276556074
F4_Pz_theta_connectivity,0.0011705595724370848
O1_P8_theta_connectivity,0.0011675043649278178
F8_Cz_delta_connectivity,0.0011667960869577649
Fp1_T7_alpha_connectivity,0.0011516411337561979
F8_P7_alpha_connectivity,0.0011470058244784185
T8_Pz_delta_connectivity,0.0011392660944636041
F3_O2_delta_connectivity,0.001138354478439601
P8_Pz_theta_connectivity,0.0011321803778728524
C3_C4_alpha_connectivity,0.001131692782395192
Fp1_Fz_alpha_connectivity,0.0011286966867618574
C3_P7_delta_connectivity,0.001125711155187238
O2_Fz_beta_connectivity,0.0011216186944585384
F4_C4_alpha_connectivity,0.0011211254879911915
O1_O2_theta_connectivity,0.0011184899773007046
Fp1_F4_alpha_connectivity,0.0011179335543814518
Fp2_T7_beta_connectivity,0.0011067326206565954
Fp1_Fz_theta_connectivity,0.0011014176759851818
Fp1_O2_alpha_connectivity,0.00110094345959419
P7_P8_delta_connectivity,0.001099846114133323
O2_F8_delta_connectivity,0.0010985832913956214
O2_Pz_delta_connectivity,0.0010950621147910833
P3_F7_alpha_connectivity,0.0010945375078263808
F3_Pz_delta_connectivity,0.0010897643707695494
F4_T7_beta_connectivity,0.00108732786884471
F7_Fz_delta_connectivity,0.0010830010853215668
Fp2_F8_delta_connectivity,0.001082331360074531
F4_O1_alpha_connectivity,0.0010793738303282393
C4_T7_delta_connectivity,0.0010776479783175233
Fp1_Fp2_delta_connectivity,0.0010719031208822221
T8_P8_delta_connectivity,0.0010646258728442169
Fp2_P7_theta_connectivity,0.0010619667379387703
P8_Fz_theta_connectivity,0.0010585616496061225
P4_T7_delta_connectivity,0.0010581989630320582
Fp2_Pz_delta_connectivity,0.0010512798084897166
Fz_Pz_delta_connectivity,0.0010469159698771053
F4_O2_theta_connectivity,0.0010445449917084676
O2_T8_delta_connectivity,0.0010444179628428952
Fp1_Fp2_theta_connectivity,0.0010431834724602975
F3_F8_beta_connectivity,0.0010416645955802757
F3_Cz_theta_connectivity,0.001039848928420573
O1_F7_beta_connectivity,0.00103700237963377
C3_Cz_theta_connectivity,0.0010367770207197903
F4_Cz_delta_connectivity,0.001036541109673189
Fp2_P3_beta_connectivity,0.00103328630837205
F4_Pz_delta_connectivity,0.0010326959126317405
Fp2_F7_delta_connectivity,0.0010324816755875774
P3_T8_theta_connectivity,0.0010301850639639657
Fp1_T8_delta_connectivity,0.001029943728044563
P3_F8_alpha_connectivity,0.00102362285417306
O1_O2_beta_connectivity,0.0010233389722650776
P7_Fz_alpha_connectivity,0.0010199108177503218
Fp1_F7_beta_connectivity,0.0010196074339051905
C4_P7_theta_connectivity,0.0010176881533875892
F4_T7_delta_connectivity,0.0010173878969982147
F3_O1_delta_connectivity,0.0010157500041499603
O1_F8_beta_connectivity,0.001010728301190087
F7_P8_delta_connectivity,0.001008422040221596
F4_Fz_theta_connectivity,0.001006914310074384
F8_Cz_alpha_connectivity,0.0009986758785838496
F3_F4_delta_connectivity,0.000991791833551274
F4_F8_beta_connectivity,0.0009893555251577978
C4_Fz_beta_connectivity,0.0009777292128493739
P7_Fz_beta_connectivity,0.0009774473690474293
Fp1_Cz_delta_connectivity,0.0009731273576121394
Fp1_F4_beta_connectivity,0.0009697651210562838
Fp1_C4_beta_connectivity,0.000969322682057601
C4_T8_alpha_connectivity,0.0009662308622274024
P8_Pz_delta_connectivity,0.000965801506414377
P3_Fz_theta_connectivity,0.0009647618878035017
O1_F8_alpha_connectivity,0.0009626221409908378
T7_Cz_alpha_connectivity,0.000957475838782235
O2_Fz_alpha_connectivity,0.000948980722704045
Fp1_O1_beta_connectivity,0.0009459144760168126
Fp2_Cz_beta_connectivity,0.000945613511966272
P4_Cz_delta_connectivity,0.0009453219218335075
F3_P8_theta_connectivity,0.0009439908073796275
F7_T7_delta_connectivity,0.0009428613085350501
O1_Cz_delta_connectivity,0.000937202418600333
F8_P7_theta_connectivity,0.0009370273479194955
F8_T8_beta_connectivity,0.0009261314654916124
F7_F8_alpha_connectivity,0.000924445906480794
P4_Pz_theta_connectivity,0.0009217511981781356
C4_T8_delta_connectivity,0.0009141059104143624
P3_P4_delta_connectivity,0.0009134360891769952
Fp1_C3_delta_connectivity,0.0009133381242701046
F4_O1_theta_connectivity,0.0009118955042634092
F4_F7_beta_connectivity,0.0009112747131528223
C4_O1_alpha_connectivity,0.0009083764513460341
C4_P7_delta_connectivity,0.0009075229507843804
Fp2_P7_delta_connectivity,0.0009036252856219764
F4_P3_beta_connectivity,0.0009008734338741163
P3_O1_delta_connectivity,0.0008993008576364181
O2_T7_beta_connectivity,0.0008971514173239299
Fp1_P7_beta_connectivity,0.0008961755902043879
F3_F8_delta_connectivity,0.0008955982395651765
T8_P7_delta_connectivity,0.0008923420394920215
Fp1_P3_delta_connectivity,0.0008923405729965819
F7_Pz_delta_connectivity,0.0008888089608199359
Fp1_F8_delta_connectivity,0.0008861222377237064
Fp1_P8_beta_connectivity,0.0008852048747167898
F7_F8_delta_connectivity,0.0008814578301413604
C4_F8_delta_connectivity,0.0008807014684915128
F4_Fz_delta_connectivity,0.0008790430254881937
Fp2_Fz_delta_connectivity,0.0008772561488337275
Fp1_T8_alpha_connectivity,0.0008731001396546025
F7_P8_alpha_connectivity,0.0008697161282543477
Fp2_T7_theta_connectivity,0.0008691275285526183
T7_T8_beta_connectivity,0.0008671447538199422
F4_T8_beta_connectivity,0.0008663692334090499
Fp2_C3_delta_connectivity,0.0008626950576711626
Fp2_F4_theta_connectivity,0.0008606626990167936
P3_O2_delta_connectivity,0.0008594941384324977
O2_Cz_delta_connectivity,0.0008592631869354287
C4_T7_theta_connectivity,0.0008591816760088327
C3_F7_beta_connectivity,0.0008548359355454769
Fp2_P8_theta_connectivity,0.0008540328732221499
Fp1_F8_beta_connectivity,0.0008517845892433222
Fp2_F7_theta_connectivity,0.0008501186480802305
P3_F7_theta_connectivity,0.0008499123915921946
F7_Cz_alpha_connectivity,0.0008483219434796172
P3_Pz_delta_connectivity,0.000844425242363855
T7_Fz_beta_connectivity,0.0008444177375935793
